id,time,x,y
dynamic,3180,1.5708e+11,9.222e+07
planet,3240,1.496e+11,9.64872e+07
dynamic,3240,1.5708e+11,9.396e+07
planet,3300,1.496e+11,9.8274e+07
dynamic,3300,1.5708e+11,9.57e+07
planet,3360,1.496e+11,1.00061e+08
dynamic,3360,1.5708e+11,9.744e+07
planet,3420,1.496e+11,1.01848e+08
dynamic,3420,1.5708e+11,9.918e+07
planet,3480,1.496e+11,1.03634e+08
dynamic,3480,1.5708e+11,1.0092e+08
planet,3540,1.496e+11,1.05421e+08
dynamic,3540,1.5708e+11,1.0266e+08
planet,3600,1.496e+11,1.07208e+08
dynamic,3600,1.5708e+11,1.044e+08
planet,3660,1.496e+11,1.08995e+08
dynamic,3660,1.5708e+11,1.0614e+08
planet,3720,1.496e+11,1.10782e+08
dynamic,3720,1.5708e+11,1.0788e+08
planet,3780,1.496e+11,1.12568e+08
dynamic,3780,1.5708e+11,1.0962e+08
planet,3840,1.496e+11,1.14355e+08
dynamic,3840,1.5708e+11,1.1136e+08
planet,3900,1.496e+11,1.16142e+08
dynamic,3900,1.5708e+11,1.131e+08
planet,3960,1.496e+11,1.17929e+08
dynamic,3960,1.5708e+11,1.1484e+08
planet,4020,1.496e+11,1.19716e+08
dynamic,4020,1.5708e+11,1.1658e+08
planet,4080,1.496e+11,1.21502e+08
dynamic,4080,1.5708e+11,1.1832e+08
planet,4140,1.496e+11,1.23289e+08
dynamic,4140,1.5708e+11,1.2006e+08
planet,4200,1.496e+11,1.25076e+08
dynamic,4200,1.5708e+11,1.218e+08
planet,4260,1.496e+11,1.26863e+08
dynamic,4260,1.5708e+11,1.2354e+08
planet,4320,1.496e+11,1.2865e+08
dynamic,4320,1.5708e+11,1.2528e+08
planet,4380,1.496e+11,1.30436e+08
dynamic,4380,1.5708e+11,1.2702e+08
planet,4440,1.496e+11,1.32223e+08
dynamic,4440,1.5708e+11,1.2876e+08
planet,4500,1.496e+11,1.3401e+08
dynamic,4500,1.5708e+11,1.305e+08
planet,4560,1.496e+11,1.35797e+08
dynamic,4560,1.5708e+11,1.3224e+08
planet,4620,1.496e+11,1.37584e+08
dynamic,4620,1.5708e+11,1.3398e+08
planet,4680,1.496e+11,1.3937e+08
dynamic,4680,1.5708e+11,1.3572e+08
planet,4740,1.496e+11,1.41157e+08
dynamic,4740,1.5708e+11,1.3746e+08
planet,4800,1.496e+11,1.42944e+08
dynamic,4800,1.5708e+11,1.392e+08
planet,4860,1.496e+11,1.44731e+08
dynamic,4860,1.5708e+11,1.4094e+08
planet,4920,1.496e+11,1.46518e+08
dynamic,4920,1.5708e+11,1.4268e+08
planet,4980,1.496e+11,1.48304e+08
dynamic,4980,1.5708e+11,1.4442e+08
planet,5040,1.496e+11,1.50091e+08
dynamic,5040,1.5708e+11,1.4616e+08
planet,5100,1.496e+11,1.51878e+08
dynamic,5100,1.5708e+11,1.479e+08
planet,5160,1.496e+11,1.53665e+08
dynamic,5160,1.5708e+11,1.4964e+08
planet,5220,1.496e+11,1.55452e+08
dynamic,5220,1.5708e+11,1.5138e+08
planet,5280,1.496e+11,1.57238e+08
dynamic,5280,1.5708e+11,1.5312e+08
planet,5340,1.496e+11,1.59025e+08
dynamic,5340,1.5708e+11,1.5486e+08
planet,5400,1.496e+11,1.60812e+08
dynamic,5400,1.5708e+11,1.566e+08
planet,5460,1.496e+11,1.62599e+08
dynamic,5460,1.5708e+11,1.5834e+08
planet,5520,1.496e+11,1.64386e+08
dynamic,5520,1.5708e+11,1.6008e+08
planet,5580,1.496e+11,1.66172e+08
dynamic,5580,1.5708e+11,1.6182e+08
planet,5640,1.496e+11,1.67959e+08
dynamic,5640,1.5708e+11,1.6356e+08
planet,5700,1.496e+11,1.69746e+08
dynamic,5700,1.5708e+11,1.653e+08
planet,5760,1.496e+11,1.71533e+08
dynamic,5760,1.5708e+11,1.6704e+08
planet,5820,1.496e+11,1.7332e+08
dynamic,5820,1.5708e+11,1.6878e+08
planet,5880,1.496e+11,1.75106e+08
dynamic,5880,1.5708e+11,1.7052e+08
planet,5940,1.496e+11,1.76893e+08
dynamic,5940,1.5708e+11,1.7226e+08
planet,6000,1.496e+11,1.7868e+08
dynamic,6000,1.5708e+11,1.74e+08
planet,6060,1.496e+11,1.80467e+08
dynamic,6060,1.5708e+11,1.7574e+08
planet,6120,1.496e+11,1.82254e+08
dynamic,6120,1.5708e+11,1.7748e+08
planet,6180,1.496e+11,1.8404e+08
dynamic,6180,1.5708e+11,1.7922e+08
planet,6240,1.496e+11,1.85827e+08
dynamic,6240,1.5708e+11,1.8096e+08
planet,6300,1.496e+11,1.87614e+08
dynamic,6300,1.5708e+11,1.827e+08
planet,6360,1.496e+11,1.89401e+08
dynamic,6360,1.5708e+11,1.8444e+08
planet,6420,1.496e+11,1.91188e+08
dynamic,6420,1.5708e+11,1.8618e+08
planet,6480,1.496e+11,1.92974e+08
dynamic,6480,1.5708e+11,1.8792e+08
planet,6540,1.496e+11,1.94761e+08
dynamic,6540,1.5708e+11,1.8966e+08
planet,6600,1.496e+11,1.96548e+08
dynamic,6600,1.5708e+11,1.914e+08
planet,6660,1.496e+11,1.98335e+08
dynamic,6660,1.5708e+11,1.9314e+08
planet,6720,1.496e+11,2.00122e+08
dynamic,6720,1.5708e+11,1.9488e+08
planet,6780,1.496e+11,2.01908e+08
dynamic,6780,1.5708e+11,1.9662e+08
planet,6840,1.496e+11,2.03695e+08
dynamic,6840,1.5708e+11,1.9836e+08
planet,6900,1.496e+11,2.05482e+08
dynamic,6900,1.5708e+11,2.001e+08
planet,6960,1.496e+11,2.07269e+08
dynamic,6960,1.5708e+11,2.0184e+08
planet,7020,1.496e+11,2.09056e+08
dynamic,7020,1.5708e+11,2.0358e+08
planet,7080,1.496e+11,2.10842e+08
dynamic,7080,1.5708e+11,2.0532e+08
planet,7140,1.496e+11,2.12629e+08
dynamic,7140,1.5708e+11,2.0706e+08
planet,7200,1.496e+11,2.14416e+08
dynamic,7200,1.5708e+11,2.088e+08
planet,7260,1.496e+11,2.16203e+08
dynamic,7260,1.5708e+11,2.1054e+08
planet,7320,1.496e+11,2.1799e+08
dynamic,7320,1.5708e+11,2.1228e+08
planet,7380,1.496e+11,2.19776e+08
dynamic,7380,1.5708e+11,2.1402e+08
planet,7440,1.496e+11,2.21563e+08
dynamic,7440,1.5708e+11,2.1576e+08
planet,7500,1.496e+11,2.2335e+08
dynamic,7500,1.5708e+11,2.175e+08
planet,7560,1.496e+11,2.25137e+08
dynamic,7560,1.5708e+11,2.1924e+08
planet,7620,1.496e+11,2.26924e+08
dynamic,7620,1.5708e+11,2.2098e+08
planet,7680,1.496e+11,2.2871e+08
dynamic,7680,1.5708e+11,2.2272e+08
planet,7740,1.496e+11,2.30497e+08
dynamic,7740,1.5708e+11,2.2446e+08
planet,7800,1.496e+11,2.32284e+08
dynamic,7800,1.5708e+11,2.262e+08
planet,7860,1.496e+11,2.34071e+08
dynamic,7860,1.5708e+11,2.2794e+08
planet,7920,1.496e+11,2.35858e+08
dynamic,7920,1.5708e+11,2.2968e+08
planet,7980,1.496e+11,2.37644e+08
dynamic,7980,1.5708e+11,2.3142e+08
planet,8040,1.496e+11,2.39431e+08
dynamic,8040,1.5708e+11,2.3316e+08
planet,8100,1.496e+11,2.41218e+08
